Facility_Name	Process	Street	City	State	Zip	Latitude	Longitude	Accidents	Total_No_Chemicals	Chemical_Names
TAPI Puerto Rico - Humacao Site	3	"Highway 3, km 76.3"	Humacao	PR	791	18.154496	-65.820757	0	2	Public OCA Chemical; Fluorine
Bayamon Wastewater Treatment Plant	3	Carr. 869 Km. 2.9	CataAno	PR	961	18.180752	-66.112215	0	2	Public OCA Chemical; Chlorine
Cerro Gordo-San Lorenzo Filtration Plant	3	"Carr. 916, Km 2.0"	San Lorenzo	PR	754	18.188518	-65.958889	0	2	Public OCA Chemical; Chlorine
Cayey Filtration Plant	3	Carretera PR-1 Km. 59.5	Cayey	PR	713	18.20228805	-66.57798342	0	2	Public OCA Chemical; Chlorine
Mayaguez Vieja Filtration Plant	3	Urb. Ponce de Lean	Mayaguez	PR	680	18.203793	-67.145253	0	2	Public OCA Chemical; Chlorine
Miradero-Mayaguez Filtration Plant	3	"Carr. 108, Km 2.8"	Mayaguez	PR	680	18.203793	-67.145253	0	2	Public OCA Chemical; Chlorine
"Compania Cervecera de Puerto Rico, Inc."	3	100 Blvd. Alfonso Valdez	Mayaguez	PR	680	18.203793	-67.145253	1	2	Public OCA Chemical; Ammonia (anhydrous)
Rio Blanco-Humacao Filtration Plant	3	"Carr. 31, Km 9.4"	Naguabo	PR	718	18.214923	-65.732399	0	2	Public OCA Chemical; Chlorine
Laser Products Inc.	3	185  Km 19 Antigua Central Juncos	Juncos	PR	777	18.229082	-65.918423	1	2	Public OCA Chemical; Chlorine
Orocovis Filtration Plant	3	Carretera 156 Km. 1.5 Interior	Orocovis	PR	720	18.229109	-66.39152	0	2	Public OCA Chemical; Chlorine
The Clorox Company of Puerto Rico	3	Carretera #1 KM 27.1	Caguas	PR	725	18.236227	-66.04134	0	2	Public OCA Chemical; Chlorine
Caguas Norte Filtration Plant	3	Rafael Cordero Ave. and Perego St.	Caguas	PR	725	18.236227	-66.04134	0	2	Public OCA Chemical; Chlorine
"Sachs Chemical, Inc."	2	"P.R. Road 175, Km. 0.02, Lot 18"	Caguas	PR	725	18.236227	-66.04134	0	2	Public OCA Chemical; Hydrochloric acid (conc 37% or greater)
Gurabo Filtration Plant	3	Jardines de Gurabo	Gurabo	PR	778	18.257108	-65.975738	0	2	Public OCA Chemical; Chlorine
